Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
961,New Zealand,Pakistan,Pakistan,5 wickets,Port Elizabeth,13-Dec-94
962,England,Zimbabwe,Zimbabwe,13 runs,Sydney,15-Dec-94
963,South Africa,Sri Lanka,Sri Lanka,35 runs,Bloemfontein,15-Dec-94
964,South Africa,Pakistan,Pakistan,8 wickets,Durban,17-Dec-94
965,New Zealand,Sri Lanka,Sri Lanka,5 wickets,East London,18-Dec-94
966,New Zealand,Pakistan,Pakistan,5 wickets,East London,19-Dec-94
967,South Africa,Sri Lanka,South Africa,44 runs,Port Elizabeth,21-Dec-94
968,England,Zimbabwe,England,26 runs,,7-Jan-95
969,Australia,England,England,37 runs,Melbourne,10-Jan-95
970,South Africa,Pakistan,South Africa,37 runs,Cape Town,10-Jan-95
971,South Africa,Pakistan,South Africa,157 runs,,12-Jan-95
972,New Zealand,West Indies,West Indies,25 runs,Auckland,22-Jan-95
973,New Zealand,West Indies,West Indies,41 runs,Wellington,25-Jan-95
974,New Zealand,West Indies,West Indies,9 wickets,Christchurch,28-Jan-95
975,Australia,South Africa,Australia,3 wickets,Wellington,15-Feb-95
976,New Zealand,India,New Zealand,4 wickets,Napier,16-Feb-95
977,India,South Africa,South Africa,14 runs,Hamilton,18-Feb-95
978,New Zealand,Australia,Australia,27 runs,Auckland,19-Feb-95
979,Australia,India,India,5 wickets,Dunedin,22-Feb-95
980,Zimbabwe,Pakistan,tied,,Harare,22-Feb-95
981,New Zealand,South Africa,New Zealand,46 runs,Christchurch,"Feb 23-24, 1995"
982,Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,25-Feb-95
983,New Zealand,Australia,Australia,6 wickets,Auckland,26-Feb-95
984,Zimbabwe,Pakistan,Zimbabwe,74 runs,Harare,26-Feb-95
985,West Indies,Australia,West Indies,6 runs,Bridgetown,8-Mar-95
986,West Indies,Australia,Australia,26 runs,,11-Mar-95
987,West Indies,Australia,West Indies,133 runs,Port of Spain,12-Mar-95
988,West Indies,Australia,West Indies,7 wickets,Kingstown,15-Mar-95
989,West Indies,Australia,West Indies,5 wickets,Georgetown,18-Mar-95
990,New Zealand,Sri Lanka,New Zealand,33 runs,Christchurch,26-Mar-95
991,New Zealand,Sri Lanka,New Zealand,57 runs,Hamilton,29-Mar-95
992,New Zealand,Sri Lanka,Sri Lanka,51 runs,Auckland,1-Apr-95
993,Bangladesh,India,India,9 wickets,Sharjah,5-Apr-95
994,Bangladesh,Sri Lanka,Sri Lanka,107 runs,Sharjah,6-Apr-95
995,India,Pakistan,Pakistan,97 runs,Sharjah,7-Apr-95
996,Bangladesh,Pakistan,Pakistan,6 wickets,Sharjah,8-Apr-95
997,India,Sri Lanka,India,8 wickets,Sharjah,9-Apr-95
998,Pakistan,Sri Lanka,Sri Lanka,5 wickets,,11-Apr-95
999,India,Sri Lanka,India,8 wickets,Sharjah,14-Apr-95
1000,England,West Indies,West Indies,5 wickets,Nottingham,"May 24-25, 1995"
1001,England,West Indies,England,25 runs,The Oval,26-May-95
1002,England,West Indies,England,73 runs,Lord's,28-May-95
1003,Pakistan,Sri Lanka,Pakistan,9 wickets,Gujranwala,29-Sep-95
1004,Pakistan,Sri Lanka,Sri Lanka,49 runs,Faisalabad,1-Oct-95
1005,Pakistan,Sri Lanka,Sri Lanka,4 wickets,Rawalpindi,3-Oct-95
1006,Sri Lanka,West Indies,Sri Lanka,6 runs,Sharjah,11-Oct-95
1007,Pakistan,Sri Lanka,Pakistan,82 runs,Sharjah,12-Oct-95
1008,Pakistan,West Indies,Pakistan,15 runs,Sharjah,13-Oct-95
1009,Pakistan,West Indies,West Indies,4 wickets,Sharjah,15-Oct-95
1010,Sri Lanka,West Indies,West Indies,4 runs,Sharjah,16-Oct-95
1011,Pakistan,Sri Lanka,Sri Lanka,8 wickets,Sharjah,17-Oct-95
1012,Sri Lanka,West Indies,Sri Lanka,50 runs,Sharjah,20-Oct-95
1013,Zimbabwe,South Africa,South Africa,134 runs,Harare,21-Oct-95
1014,Zimbabwe,South Africa,South Africa,112 runs,Harare,22-Oct-95
1015,India,New Zealand,New Zealand,8 wickets,Jamshedpur,15-Nov-95
1016,India,New Zealand,India,6 wickets,Amritsar,18-Nov-95
1017,India,New Zealand,India,5 wickets,Pune,24-Nov-95
1018,India,New Zealand,New Zealand,99 runs,Nagpur,26-Nov-95
1019,India,New Zealand,India,6 wickets,Mumbai (BS),29-Nov-95
1020,New Zealand,Pakistan,Pakistan,20 runs,,15-Dec-95
1021,Sri Lanka,West Indies,Sri Lanka,4 wickets,Adelaide,15-Dec-95
1022,New Zealand,Pakistan,New Zealand,1 wicket,Christchurch,17-Dec-95
1023,Australia,West Indies,Australia,121 runs,Adelaide,17-Dec-95
1024,Australia,West Indies,Australia,24 runs,Melbourne,19-Dec-95
1025,New Zealand,Pakistan,Pakistan,54 runs,Wellington,20-Dec-95
1026,Australia,Sri Lanka,Australia,5 wickets,Sydney,21-Dec-95
1027,New Zealand,Pakistan,New Zealand,32 runs,Auckland,23-Dec-95
1028,Australia,West Indies,Australia,1 wicket,Sydney,1-Jan-96
1029,Sri Lanka,West Indies,West Indies,70 runs,Hobart,3-Jan-96
1030,Sri Lanka,West Indies,West Indies,7 wickets,Brisbane,5-Jan-96
1031,Australia,West Indies,West Indies,14 runs,Brisbane,7-Jan-96
1032,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,9-Jan-96
1033,South Africa,England,South Africa,6 runs,Cape Town,9-Jan-96
1034,South Africa,England,England,5 wickets,Bloemfontein,11-Jan-96
1035,Australia,Sri Lanka,Australia,83 runs,Perth,12-Jan-96
1036,South Africa,England,South Africa,3 wickets,Johannesburg,13-Jan-96
1037,Sri Lanka,West Indies,Sri Lanka,16 runs,Perth,14-Jan-96
1038,South Africa,England,South Africa,7 wickets,Centurion,14-Jan-96
1039,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,16-Jan-96
1040,South Africa,England,South Africa,5 wickets,Durban,17-Jan-96
1041,Australia,Sri Lanka,Australia,18 runs,Melbourne,18-Jan-96
1042,South Africa,England,South Africa,14 runs,East London,19-Jan-96
1043,Australia,Sri Lanka,Australia,9 runs,Sydney,20-Jan-96
1044,South Africa,England,South Africa,64 runs,,21-Jan-96
1045,New Zealand,Zimbabwe,New Zealand,74 runs,Auckland,28-Jan-96
1046,New Zealand,Zimbabwe,New Zealand,6 wickets,Wellington,31-Jan-96
1047,New Zealand,Zimbabwe,Zimbabwe,21 runs,Napier,3-Feb-96
1048,England,New Zealand,New Zealand,11 runs,Ahmedabad,14-Feb-96
1049,South Africa,U.A.E.,South Africa,169 runs,,16-Feb-96
1050,West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad (Deccan),16-Feb-96
1051,Netherlands,New Zealand,New Zealand,119 runs,Vadodara,17-Feb-96
1052,India,Kenya,India,7 wickets,Cuttack,18-Feb-96
1053,England,U.A.E.,England,8 wickets,Peshawar,18-Feb-96
1054,New Zealand,South Africa,South Africa,5 wickets,Faisalabad,20-Feb-96
1055,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),21-Feb-96
1056,India,West Indies,India,5 wickets,Gwalior,21-Feb-96
1057,England,Netherlands,England,49 runs,Peshawar,22-Feb-96
1058,Australia,Kenya,Australia,97 runs,Visakhapatnam,23-Feb-96
1059,Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala,24-Feb-96
1060,England,South Africa,South Africa,78 runs,Rawalpindi,25-Feb-96
1061,Kenya,Zimbabwe,no result,,Patna,26-Feb-96
1062,Pakistan,Netherlands,Pakistan,8 wickets,Lahore,26-Feb-96
1063,Kenya,Zimbabwe,Zimbabwe,5 wickets,Patna,27-Feb-96
1064,New Zealand,U.A.E.,New Zealand,109 runs,Faisalabad,27-Feb-96
1065,India,Australia,Australia,16 runs,Mumbai,27-Feb-96
1066,Kenya,West Indies,Kenya,73 runs,Pune,29-Feb-96
1067,Pakistan,South Africa,South Africa,5 wickets,Karachi,29-Feb-96
1068,Australia,Zimbabwe,Australia,8 wickets,Nagpur,1-Mar-96
1069,Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore,1-Mar-96
1070,India,Sri Lanka,Sri Lanka,6 wickets,Delhi,2-Mar-96
1071,Pakistan,England,Pakistan,7 wickets,Karachi,3-Mar-96
1072,Australia,West Indies,West Indies,4 wickets,Jaipur,4-Mar-96
1073,Netherlands,South Africa,South Africa,160 runs,Rawalpindi,5-Mar-96
1074,India,Zimbabwe,India,40 runs,Kanpur,6-Mar-96
1075,Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,6-Mar-96
1076,Pakistan,New Zealand,Pakistan,46 runs,,6-Mar-96
1077,England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,9-Mar-96
1078,India,Pakistan,India,39 runs,Bengaluru,9-Mar-96
1079,South Africa,West Indies,West Indies,19 runs,Karachi,11-Mar-96
1080,Australia,New Zealand,Australia,6 wickets,Chennai,11-Mar-96
1081,India,Sri Lanka,Sri Lanka,,Kolkata,13-Mar-96
1082,Australia,West Indies,Australia,5 runs,Mohali,14-Mar-96
1083,Australia,Sri Lanka,Sri Lanka,7 wickets,,17-Mar-96
1084,West Indies,New Zealand,West Indies,1 wicket,Kingston,26-Mar-96
1085,West Indies,New Zealand,New Zealand,4 wickets,Port of Spain,29-Mar-96
1086,West Indies,New Zealand,West Indies,7 wickets,Port of Spain,30-Mar-96
1087,Pakistan,Sri Lanka,no result,,Singapore,1-Apr-96
1088,Pakistan,Sri Lanka,Sri Lanka,34 runs,Singapore,2-Apr-96
1089,India,Sri Lanka,India,12 runs,Singapore,3-Apr-96
1090,West Indies,New Zealand,New Zealand,4 runs,Georgetown,3-Apr-96
1091,India,Pakistan,Pakistan,8 wickets,Singapore,5-Apr-96
1092,West Indies,New Zealand,West Indies,7 wickets,Kingstown,6-Apr-96
1093,Pakistan,Sri Lanka,Pakistan,43 runs,Singapore,7-Apr-96
1094,India,Pakistan,Pakistan,38 runs,Sharjah,12-Apr-96
1095,Pakistan,South Africa,South Africa,143 runs,Sharjah,13-Apr-96
1096,West Indies,Sri Lanka,Sri Lanka,35 runs,,13-Apr-96
1097,India,South Africa,South Africa,80 runs,Sharjah,14-Apr-96
1098,India,Pakistan,India,28 runs,Sharjah,15-Apr-96
1099,Pakistan,South Africa,South Africa,8 wickets,Sharjah,16-Apr-96
1100,India,South Africa,South Africa,5 wickets,Sharjah,17-Apr-96
1101,India,South Africa,South Africa,38 runs,Sharjah,19-Apr-96
1102,England,India,no result,,The Oval,"May 23-24, 1996"
1103,England,India,England,6 wickets,Leeds,25-May-96
1104,England,India,England,4 wickets,Manchester,"May 26-27, 1996"
1105,Australia,Zimbabwe,Australia,125 runs,Colombo (RPS),26-Aug-96
1106,Sri Lanka,India,Sri Lanka,9 wickets,Colombo (RPS),28-Aug-96
1107,England,Pakistan,England,5 wickets,Manchester,29-Aug-96
1108,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),30-Aug-96
1109,England,Pakistan,England,107 runs,Birmingham,31-Aug-96
1110,India,Zimbabwe,India,7 wickets,Colombo (SSC),1-Sep-96
1111,England,Pakistan,Pakistan,2 wickets,Nottingham,1-Sep-96
1112,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),3-Sep-96
1113,Australia,India,Australia,3 wickets,Colombo (SSC),6-Sep-96
1114,Sri Lanka,Australia,Sri Lanka,50 runs,Colombo (RPS),7-Sep-96
1115,India,Pakistan,India,8 wickets,Toronto,16-Sep-96
1116,India,Pakistan,Pakistan,2 wickets,Toronto,17-Sep-96
1117,India,Pakistan,India,55 runs,Toronto,18-Sep-96
1118,India,Pakistan,Pakistan,97 runs,Toronto,21-Sep-96
1119,India,Pakistan,Pakistan,52 runs,Toronto,23-Sep-96
1120,Kenya,Sri Lanka,Sri Lanka,7 wickets,Nairobi (Gym),28-Sep-96
1121,Pakistan,South Africa,South Africa,62 runs,Nairobi (Gym),29-Sep-96
1122,South Africa,Sri Lanka,Sri Lanka,2 wickets,Nairobi (Club),1-Oct-96
1123,Kenya,Pakistan,Pakistan,4 wickets,,2-Oct-96
1124,Kenya,South Africa,South Africa,202 runs,Nairobi (Gym),3-Oct-96
1125,Pakistan,Sri Lanka,Pakistan,82 runs,Nairobi (Gym),4-Oct-96
1126,Pakistan,South Africa,South Africa,7 wickets,Nairobi (Gym),6-Oct-96
1127,India,South Africa,South Africa,47 runs,Hyderabad (Deccan),17-Oct-96
1128,Australia,South Africa,South Africa,7 wickets,Indore,19-Oct-96
1129,India,Australia,India,2 wickets,Bengaluru,21-Oct-96
1130,India,South Africa,South Africa,27 runs,Jaipur,23-Oct-96
1131,Australia,South Africa,South Africa,2 wickets,Faridabad,25-Oct-96
1132,India,South Africa,South Africa,5 wickets,Rajkot,29-Oct-96
1133,Pakistan,Zimbabwe,Pakistan,3 wickets,Quetta,30-Oct-96
1134,Australia,South Africa,South Africa,8 wickets,Guwahati,1-Nov-96
1135,Pakistan,Zimbabwe,Pakistan,9 wickets,Lahore,1-Nov-96
1136,Pakistan,Zimbabwe,Pakistan,78 runs,Peshawar,3-Nov-96
1137,India,Australia,India,5 runs,Mohali,3-Nov-96
1138,India,South Africa,India,35 runs,Mumbai,6-Nov-96
1139,New Zealand,Sri Lanka,New Zealand,29 runs,Sharjah,7-Nov-96
1140,Pakistan,Sri Lanka,Sri Lanka,75 runs,Sharjah,8-Nov-96
1141,New Zealand,Pakistan,Pakistan,4 wickets,,10-Nov-96
1142,New Zealand,Sri Lanka,tied,,Sharjah,11-Nov-96
1143,Pakistan,Sri Lanka,Pakistan,8 wickets,Sharjah,12-Nov-96
1144,New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,13-Nov-96
1145,New Zealand,Pakistan,Pakistan,41 runs,Sharjah,15-Nov-96
1146,Pakistan,New Zealand,Pakistan,11 runs,Gujranwala,4-Dec-96
1147,Australia,West Indies,Australia,5 wickets,Melbourne,6-Dec-96
1148,Pakistan,New Zealand,Pakistan,46 runs,Sialkot,6-Dec-96
1149,Australia,West Indies,Australia,8 wickets,Sydney,8-Dec-96
1150,Pakistan,New Zealand,New Zealand,7 wickets,Karachi,8-Dec-96
1151,India,South Africa,India,74 runs,Mumbai,14-Dec-96
1152,Australia,Pakistan,Pakistan,12 runs,Adelaide,15-Dec-96
1153,Zimbabwe,England,Zimbabwe,2 wickets,Bulawayo,15-Dec-96
1154,Pakistan,West Indies,West Indies,7 wickets,Adelaide,17-Dec-96
1155,Australia,Pakistan,Pakistan,4 wickets,Sydney,1-Jan-97
1156,Zimbabwe,England,Zimbabwe,7 runs,Harare,1-Jan-97
1157,Pakistan,West Indies,West Indies,6 wickets,Brisbane,3-Jan-97
1158,Zimbabwe,England,Zimbabwe,131 runs,Harare,3-Jan-97
1159,Australia,West Indies,West Indies,7 wickets,Brisbane,5-Jan-97
1160,Australia,Pakistan,Pakistan,29 runs,Hobart,7-Jan-97
1161,Pakistan,West Indies,West Indies,5 wickets,Perth,10-Jan-97
1162,Australia,West Indies,West Indies,4 wickets,Perth,12-Jan-97
1163,Pakistan,West Indies,Pakistan,8 wickets,Sydney,14-Jan-97
1164,Australia,Pakistan,Australia,3 wickets,Melbourne,16-Jan-97
1165,Pakistan,West Indies,Pakistan,4 wickets,,18-Jan-97
1166,Pakistan,West Indies,Pakistan,62 runs,Melbourne,20-Jan-97
1167,South Africa,India,South Africa,39 runs,Bloemfontein,23-Jan-97
1168,South Africa,Zimbabwe,South Africa,5 wickets,Centurion,25-Jan-97
1169,India,Zimbabwe,tied,,Paarl,27-Jan-97
1170,South Africa,Zimbabwe,South Africa,5 wickets,Cape Town,29-Jan-97
1171,South Africa,Zimbabwe,South Africa,4 wickets,Johannesburg,31-Jan-97
1172,South Africa,India,South Africa,6 wickets,Port Elizabeth,2-Feb-97
1173,South Africa,India,South Africa,6 wickets,East London,4-Feb-97
1174,India,Zimbabwe,Zimbabwe,3 wickets,Centurion,7-Feb-97
1175,India,Zimbabwe,India,6 wickets,Benoni,9-Feb-97
1176,South Africa,India,no result,,Durban,12-Feb-97
1177,South Africa,India,South Africa,17 runs,Durban,13-Feb-97
1178,Zimbabwe,India,Zimbabwe,8 wickets,Bulawayo,15-Feb-97
1179,New Zealand,England,England,4 wickets,Christchurch,20-Feb-97
1180,New Zealand,England,England,6 wickets,Auckland,23-Feb-97
1181,New Zealand,England,tied,,Napier,26-Feb-97
1182,New Zealand,England,New Zealand,9 runs,Auckland,2-Mar-97
1183,New Zealand,England,New Zealand,28 runs,Wellington,4-Mar-97
1184,New Zealand,Sri Lanka,Sri Lanka,6 wickets,,25-Mar-97
1185,New Zealand,Sri Lanka,New Zealand,69 runs,Wellington,27-Mar-97
1186,South Africa,Australia,South Africa,6 wickets,East London,29-Mar-97
1187,South Africa,Australia,Australia,7 wickets,Port Elizabeth,31-Mar-97
1188,South Africa,Australia,South Africa,46 runs,Cape Town,2-Apr-97
1189,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah,3-Apr-97
1190,Pakistan,Sri Lanka,Sri Lanka,19 runs,Sharjah,4-Apr-97
1191,South Africa,Australia,Australia,15 runs,Durban,5-Apr-97
1192,Pakistan,Zimbabwe,Pakistan,93 runs,Sharjah,6-Apr-97
1193,Pakistan,Sri Lanka,Sri Lanka,51 runs,Sharjah,7-Apr-97
1194,Sri Lanka,Zimbabwe,Zimbabwe,50 runs,Sharjah,8-Apr-97
1195,South Africa,Australia,Australia,8 runs,,8-Apr-97
1196,Pakistan,Zimbabwe,Pakistan,32 runs,Sharjah,9-Apr-97
1197,South Africa,Australia,Australia,5 wickets,Centurion,10-Apr-97
1198,Pakistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,11-Apr-97
1199,South Africa,Australia,South Africa,109 runs,Bloemfontein,13-Apr-97
1200,West Indies,India,West Indies,8 wickets,Port of Spain,26-Apr-97
1201,West Indies,India,India,10 wickets,Port of Spain,27-Apr-97
1202,West Indies,India,West Indies,18 runs,Kingstown,30-Apr-97
1203,West Indies,India,West Indies,10 wickets,Bridgetown,3-May-97
1204,New Zealand,Pakistan,New Zealand,22 runs,Mohali,9-May-97
1205,Pakistan,Sri Lanka,Pakistan,30 runs,Gwalior,12-May-97
1206,India,New Zealand,India,8 wickets,Bengaluru,14-May-97
1207,India,Sri Lanka,Sri Lanka,5 wickets,Mumbai,17-May-97
1208,New Zealand,Sri Lanka,Sri Lanka,52 runs,Hyderabad (Deccan),20-May-97
1209,India,Pakistan,Pakistan,35 runs,Chennai,21-May-97
1210,England,Australia,England,6 wickets,Leeds,22-May-97
1211,Pakistan,Sri Lanka,Sri Lanka,115 runs,Mohali,24-May-97
1212,England,Australia,England,6 wickets,The Oval,24-May-97
1213,England,Australia,England,6 wickets,,25-May-97
1214,Pakistan,Sri Lanka,Sri Lanka,85 runs,Kolkata,27-May-97
1215,West Indies,Sri Lanka,West Indies,35 runs,Port of Spain,6-Jun-97
1216,Sri Lanka,Pakistan,Sri Lanka,15 runs,Colombo (RPS),14-Jul-97
1217,Bangladesh,Pakistan,Pakistan,109 runs,Colombo (RPS),16-Jul-97
1218,Sri Lanka,India,Sri Lanka,6 wickets,Colombo (RPS),18-Jul-97
1219,India,Pakistan,no result,,Colombo (SSC),20-Jul-97
1220,Sri Lanka,Bangladesh,Sri Lanka,103 runs,Colombo (SSC),22-Jul-97
1221,Bangladesh,India,India,9 wickets,Colombo (SSC),24-Jul-97
1222,Sri Lanka,India,Sri Lanka,8 wickets,Colombo (RPS),26-Jul-97
1223,Sri Lanka,India,Sri Lanka,2 runs,Colombo (RPS),17-Aug-97
1224,Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),20-Aug-97
1225,Sri Lanka,India,no result,,Colombo (SSC),23-Aug-97
1226,Sri Lanka,India,Sri Lanka,9 runs,Colombo (SSC),24-Aug-97
1227,India,Pakistan,India,20 runs,Toronto,13-Sep-97
1228,India,Pakistan,India,7 wickets,Toronto,14-Sep-97
1229,India,Pakistan,no result,,Toronto,17-Sep-97
1230,India,Pakistan,India,34 runs,Toronto,18-Sep-97
1231,India,Pakistan,India,7 wickets,Toronto,20-Sep-97
1232,India,Pakistan,Pakistan,5 wickets,Toronto,21-Sep-97
1233,Pakistan,India,Pakistan,5 wickets,Hyderabad (Sind),28-Sep-97
1234,Pakistan,India,India,4 wickets,Karachi,30-Sep-97
1235,Zimbabwe,New Zealand,tied,,Bulawayo,1-Oct-97
1236,Pakistan,India,Pakistan,9 wickets,Lahore,2-Oct-97
1237,Zimbabwe,New Zealand,Zimbabwe,3 wickets,Harare,4-Oct-97
1238,Zimbabwe,New Zealand,New Zealand,83 runs,Harare,5-Oct-97
1239,Kenya,Bangladesh,Kenya,150 runs,Nairobi (Gym),10-Oct-97
1240,Bangladesh,Zimbabwe,Zimbabwe,48 runs,Nairobi (Gym),11-Oct-97
1241,Kenya,Zimbabwe,Zimbabwe,6 wickets,Nairobi (Gym),12-Oct-97
1242,Bangladesh,Zimbabwe,Zimbabwe,192 runs,Nairobi (Aga),14-Oct-97
1243,Kenya,Bangladesh,Kenya,8 wickets,Nairobi (Aga),15-Oct-97
1244,Kenya,Zimbabwe,Zimbabwe,7 wickets,,16-Oct-97
1245,Kenya,Zimbabwe,Zimbabwe,83 runs,Nairobi (Gym),18-Oct-97
1246,Kenya,Zimbabwe,Zimbabwe,82 runs,Nairobi (Gym),19-Oct-97
1247,Sri Lanka,West Indies,Sri Lanka,7 wickets,Lahore,1-Nov-97
1248,Pakistan,South Africa,South Africa,9 runs,Lahore,2-Nov-97
1249,South Africa,West Indies,South Africa,5 wickets,Lahore,3-Nov-97
1250,Pakistan,West Indies,Pakistan,8 wickets,Lahore,4-Nov-97
1251,Pakistan,Sri Lanka,Sri Lanka,8 wickets,Lahore,5-Nov-97
1252,South Africa,Sri Lanka,South Africa,66 runs,Lahore,6-Nov-97
1253,South Africa,Sri Lanka,South Africa,4 wickets,Lahore,8-Nov-97
1254,Australia,South Africa,South Africa,67 runs,Sydney,4-Dec-97
1255,New Zealand,South Africa,New Zealand,47 runs,Adelaide,6-Dec-97
1256,Australia,New Zealand,Australia,3 wickets,Adelaide,7-Dec-97
1257,Australia,South Africa,South Africa,45 runs,Melbourne,9-Dec-97
1258,New Zealand,South Africa,South Africa,1 run,Hobart,11-Dec-97
1259,England,India,England,7 runs,Sharjah,11-Dec-97
1260,Pakistan,West Indies,West Indies,43 runs,Sharjah,12-Dec-97
1261,England,West Indies,England,4 wickets,Sharjah,13-Dec-97
1262,India,Pakistan,Pakistan,4 wickets,Sharjah,14-Dec-97
1263,England,Pakistan,England,8 runs,Sharjah,15-Dec-97
1264,India,West Indies,West Indies,41 runs,Sharjah,16-Dec-97
1265,Australia,New Zealand,Australia,6 wickets,Melbourne,17-Dec-97
1266,England,West Indies,England,3 wickets,Sharjah,19-Dec-97
1267,India,Sri Lanka,India,7 wickets,Guwahati,22-Dec-97
1268,India,Sri Lanka,no result,,Indore,25-Dec-97
1269,India,Sri Lanka,Sri Lanka,5 wickets,Margao,28-Dec-97
1270,New Zealand,South Africa,South Africa,2 runs,Brisbane,9-Jan-98
1271,Bangladesh,India,India,4 wickets,Dhaka,10-Jan-98
1272,India,Pakistan,India,18 runs,Dhaka,11-Jan-98
1273,Australia,South Africa,South Africa,5 wickets,Brisbane,11-Jan-98
1274,Bangladesh,Pakistan,Pakistan,9 wickets,,12-Jan-98
1275,India,Pakistan,India,8 wickets,Dhaka,14-Jan-98
1276,Australia,New Zealand,Australia,131 runs,Sydney,14-Jan-98
1277,India,Pakistan,Pakistan,6 wickets,Dhaka,16-Jan-98
1278,New Zealand,South Africa,South Africa,67 runs,Perth,16-Jan-98
1279,India,Pakistan,India,3 wickets,Dhaka,18-Jan-98
1280,Australia,South Africa,South Africa,7 wickets,Perth,18-Jan-98
1281,Australia,New Zealand,New Zealand,4 wickets,Melbourne,21-Jan-98
1282,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (SSC),22-Jan-98
1283,Australia,South Africa,South Africa,6 runs,Melbourne,23-Jan-98
1284,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,,24-Jan-98
1285,Australia,South Africa,Australia,7 wickets,Sydney,26-Jan-98
1286,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Colombo (SSC),26-Jan-98
1287,Australia,South Africa,Australia,14 runs,Sydney,27-Jan-98
1288,New Zealand,Zimbabwe,New Zealand,40 runs,Hamilton,4-Feb-98
1289,New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,6-Feb-98
1290,New Zealand,Australia,Australia,7 wickets,Christchurch,8-Feb-98
1291,New Zealand,Australia,Australia,66 runs,Wellington,10-Feb-98
1292,New Zealand,Australia,New Zealand,7 wickets,Napier,12-Feb-98
1293,New Zealand,Australia,New Zealand,30 runs,Auckland,14-Feb-98
1294,New Zealand,Zimbabwe,Zimbabwe,1 run,Christchurch,4-Mar-98
1295,New Zealand,Zimbabwe,New Zealand,9 wickets,Napier,6-Mar-98
1296,New Zealand,Zimbabwe,New Zealand,2 runs,Auckland,8-Mar-98
1297,Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,28-Mar-98
1298,Zimbabwe,Pakistan,Pakistan,4 wickets,,29-Mar-98
1299,West Indies,England,England,16 runs,Bridgetown,29-Mar-98
1300,India,Australia,India,41 runs,Kochi,1-Apr-98
1301,West Indies,England,West Indies,1 wicket,Bridgetown,1-Apr-98
1302,Australia,Zimbabwe,Australia,13 runs,Ahmedabad,3-Apr-98
1303,South Africa,Pakistan,South Africa,52 runs,Durban,3-Apr-98
1304,West Indies,England,West Indies,5 wickets,Kingstown,4-Apr-98
1305,India,Zimbabwe,India,13 runs,Vadodara,5-Apr-98
1306,South Africa,Sri Lanka,South Africa,57 runs,Johannesburg,5-Apr-98
1307,West Indies,England,West Indies,4 wickets,Kingstown,5-Apr-98
1308,India,Australia,India,6 wickets,Kanpur,7-Apr-98
1309,Pakistan,Sri Lanka,Pakistan,4 wickets,,7-Apr-98
1310,West Indies,England,West Indies,57 runs,Port of Spain,8-Apr-98
1311,India,Zimbabwe,India,32 runs,Cuttack,9-Apr-98
1312,Pakistan,Sri Lanka,Pakistan,110 runs,Paarl,9-Apr-98
1313,Australia,Zimbabwe,Australia,16 runs,Delhi,11-Apr-98
1314,South Africa,Pakistan,South Africa,3 wickets,East London,11-Apr-98
1315,South Africa,Sri Lanka,Sri Lanka,6 wickets,Port Elizabeth,13-Apr-98
1316,India,Australia,Australia,4 wickets,Delhi,14-Apr-98
1317,Pakistan,Sri Lanka,Sri Lanka,115 runs,Benoni,15-Apr-98
1318,South Africa,Pakistan,South Africa,7 wickets,Centurion,17-Apr-98
1319,India,New Zealand,India,15 runs,Sharjah,17-Apr-98
1320,Australia,New Zealand,Australia,6 wickets,Sharjah,18-Apr-98
1321,South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,19-Apr-98
1322,Australia,India,Australia,58 runs,Sharjah,19-Apr-98
1323,India,New Zealand,New Zealand,4 wickets,Sharjah,20-Apr-98
1324,Australia,New Zealand,Australia,5 wickets,Sharjah,21-Apr-98
1325,Australia,India,Australia,26 runs,Sharjah,22-Apr-98
1326,South Africa,Pakistan,South Africa,9 wickets,Cape Town,23-Apr-98
1327,Australia,India,India,6 wickets,Sharjah,24-Apr-98
1328,India,Bangladesh,India,5 wickets,Mohali,14-May-98
1329,Bangladesh,Kenya,Bangladesh,6 wickets,Hyderabad (Deccan),17-May-98
1330,India,Kenya,India,4 wickets,Bengaluru,20-May-98
1331,England,South Africa,South Africa,3 wickets,The Oval,21-May-98
1332,Bangladesh,Kenya,Kenya,28 runs,Chennai,23-May-98
